company_permalink,company_name,company_category_list,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
/organization/3dshook-2,3DShook,3D Printing|Consumer Goods|E-Commerce,ISR,5,Tel Aviv,Tel Aviv,/organization/angel-investors-2,Angel Investors,,,,,/funding-round/794efcc1b3e9bdce728c29c47eced526,undisclosed,,1/1/14,
/organization/3dshook-2,3DShook,3D Printing|Consumer Goods|E-Commerce,ISR,5,Tel Aviv,Tel Aviv,/organization/kima-ventures,Kima Ventures,FRA,A8,Paris,Paris,/funding-round/794efcc1b3e9bdce728c29c47eced526,undisclosed,,1/1/14,
/organization/3dsoc,3DSoC,3D|Mobile,IND,19,Bangalore,Bangalore,/organization/idg-ventures-india,IDG Ventures India,,,,,/funding-round/bbedf1410fddeed341018583bbd0ca1e,venture,A,12/1/07,1240000
/organization/3dsoc,3DSoC,3D|Mobile,IND,19,Bangalore,Bangalore,/organization/idg-ventures-india,IDG Ventures India,,,,,/funding-round/da8918e533a7caf0df0dc8d3f506c0f8,venture,B,8/1/10,825000
/organization/3dvista,3DVista,Curated Web,,,,,/organization/edap-2007,Edap 2007,ESP,56,Barcelona,Barcelona,/funding-round/689a5e7f3cea9622f820996a11248b78,venture,,6/3/08,475000
/organization/3funnel,3Funnel,Business Analytics|E-Commerce|Enterprise Software|Visualization,IRL,7,Dublin,Dublin,/organization/ndrc,NDRC,IRL,7,Dublin,Dublin,/funding-round/11b051cecb9483a856a58ef08cd82305,seed,,2/1/13,
/organization/3g-multimedia,3G Multimedia,Android|B2B|Brand Marketing|iPhone|Mobile|Music|Video Streaming,HUN,5,Budapest,Budapest,/organization/portfolion,PortfoLion,HUN,5,Budapest,Budapest,/funding-round/045bb635625b8e0c5e88cb8bb45a939e,venture,A,1/1/11,1700000
/organization/3g-multimedia,3G Multimedia,Android|B2B|Brand Marketing|iPhone|Mobile|Music|Video Streaming,HUN,5,Budapest,Budapest,/organization/portfolion,PortfoLion,HUN,5,Budapest,Budapest,/funding-round/183b3a80a5b40b53546fd102a51c4fc5,venture,A,7/1/12,
/organization/3gear-systems,Nimble VR,Software,USA,CA,SF Bay Area,San Francisco,/organization/crunchfund,CrunchFund,USA,CA,SF Bay Area,San Francisco,/funding-round/92a852e0da2ddf2a41b89d7b1aaddb39,venture,,4/2/14,1900000
/organization/3gear-systems,Nimble VR,Software,USA,CA,SF Bay Area,San Francisco,/organization/intel-capital,Intel Capital,USA,CA,SF Bay Area,Santa Clara,/funding-round/92a852e0da2ddf2a41b89d7b1aaddb39,venture,,4/2/14,1900000
/organization/3gear-systems,Nimble VR,Software,USA,CA,SF Bay Area,San Francisco,/organization/k9-ventures,K9 Ventures,USA,CA,SF Bay Area,Palo Alto,/funding-round/227b14ab43e8b9112aa9357d69662e5f,seed,,3/30/12,349999
/organization/3gear-systems,Nimble VR,Software,USA,CA,SF Bay Area,San Francisco,/organization/k9-ventures,K9 Ventures,USA,CA,SF Bay Area,Palo Alto,/funding-round/92a852e0da2ddf2a41b89d7b1aaddb39,venture,,4/2/14,1900000
/organization/3gear-systems,Nimble VR,Software,USA,CA,SF Bay Area,San Francisco,/organization/teec-angel-fund,TEEC Angel Fund,,,,,/funding-round/227b14ab43e8b9112aa9357d69662e5f,seed,,3/30/12,349999
/organization/3gear-systems,Nimble VR,Software,USA,CA,SF Bay Area,San Francisco,/person/safa-rashtchy,Safa Rashtchy,USA,,,Palo Alto,/funding-round/227b14ab43e8b9112aa9357d69662e5f,seed,,3/30/12,349999
/organization/3guppies,3Guppies,Music,USA,WA,Seattle,Seattle,/organization/vantagepoint-capital-partners,VantagePoint Capital Partners,USA,CA,SF Bay Area,San Bruno,/funding-round/98197b1f7eabb442aa8d1e3218f983ce,venture,A,4/5/06,20000000
/organization/3gv8-international-inc,3GV8 International Inc,Mobile,CHN,22,Beijing,Beijing,/organization/chengwei-capital,Chengwei Capital,CHN,23,Shanghai,Shanghai,/funding-round/9d5a437b4238cdb38f6a17b24b9759f4,undisclosed,,2/1/07,
/organization/3gv8-international-inc,3GV8 International Inc,Mobile,CHN,22,Beijing,Beijing,/organization/idg-capital-partners,IDG Capital Partners,CHN,22,Beijing,Beijing,/funding-round/9d5a437b4238cdb38f6a17b24b9759f4,undisclosed,,2/1/07,
/organization/3gv8-international-inc,3GV8 International Inc,Mobile,CHN,22,Beijing,Beijing,/organization/idg-capital-partners,IDG Capital Partners,CHN,22,Beijing,Beijing,/funding-round/eb6f3f8616acaa5e81065b8fc10e3331,venture,A,3/1/06,746185
/organization/3i-systems,3i Systems,Semiconductors,CHN,5,Guangdong,Guangdong,/organization/anxon-international,Anxon International,,,,,/funding-round/67a1232361d7ff1465049907710a1751,venture,B,8/20/07,6500000
/organization/3i-systems,3i Systems,Semiconductors,CHN,5,Guangdong,Guangdong,/organization/bluerun-ventures,BlueRun Ventures,USA,CA,SF Bay Area,Menlo Park,/funding-round/67a1232361d7ff1465049907710a1751,venture,B,8/20/07,6500000
/organization/3i-systems,3i Systems,Semiconductors,CHN,5,Guangdong,Guangdong,/organization/bluerun-ventures,BlueRun Ventures,USA,CA,SF Bay Area,Menlo Park,/funding-round/89994c98103d7ba3f49b11213a5399a2,venture,,3/1/10,5000000
